selection,view,channel,begin_time_s,end_time_s,begin_path,file_offset_s,inband_power_d_b_fs,f_rms_amp_u,common_name,species_code,confidence
1,Waveform 1,1,1560,1563,D:\Shelburne\May\Sensor 12\20250512\20250512_200000.WAV,1560,NA,133.992,whine,bobof_whine,0.8747
1,Spectrogram 1,1,1560,1563,D:\Shelburne\May\Sensor 12\20250512\20250512_200000.WAV,1560,-47.76,NA,whine,bobof_whine,0.8747
2,Waveform 1,1,5310,5313,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2610,NA,216.345,whine,bobof_whine,0.9436
2,Spectrogram 1,1,5310,5313,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2610,-43.63,NA,whine,bobof_whine,0.9436
3,Waveform 1,1,5388,5391,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2688,NA,347.498,whine,bobof_whine,0.9122
3,Spectrogram 1,1,5388,5391,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2688,-39.49,NA,whine,bobof_whine,0.9122
4,Waveform 1,1,5391,5394,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2691,NA,370.428,whine,bobof_whine,0.9901
4,Spectrogram 1,1,5391,5394,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2691,-38.93,NA,whine,bobof_whine,0.9901
5,Waveform 1,1,5397,5400,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2697,NA,345.807,whine,bobof_whine,0.9517
5,Spectrogram 1,1,5397,5400,D:\Shelburne\May\Sensor 12\20250514\20250514_110000.WAV,2697,-39.54,NA,whine,bobof_whine,0.9517
6,Waveform 1,1,8061,8064,D:\Shelburne\May\Sensor 12\20250514\20250514_120000.WAV,2661,NA,895.58,whine,bobof_whine,0.8521
6,Spectrogram 1,1,8061,8064,D:\Shelburne\May\Sensor 12\20250514\20250514_120000.WAV,2661,-31.26,NA,whine,bobof_whine,0.8521
7,Waveform 1,1,10215,10218,D:\Shelburne\May\Sensor 12\20250516\20250516_090000.WAV,2115,NA,2347.696,whine,bobof_whine,0.8002
7,Spectrogram 1,1,10215,10218,D:\Shelburne\May\Sensor 12\20250516\20250516_090000.WAV,2115,-22.89,NA,whine,bobof_whine,0.8002
8,Waveform 1,1,10599,10602,D:\Shelburne\May\Sensor 12\20250516\20250516_090000.WAV,2499,NA,7461.468,whine,bobof_whine,0.7787
8,Spectrogram 1,1,10599,10602,D:\Shelburne\May\Sensor 12\20250516\20250516_090000.WAV,2499,-12.86,NA,whine,bobof_whine,0.7787
9,Waveform 1,1,11031,11034,D:\Shelburne\May\Sensor 12\20250516\20250516_110000.WAV,231,NA,193.646,whine,bobof_whine,0.7684
9,Spectrogram 1,1,11031,11034,D:\Shelburne\May\Sensor 12\20250516\20250516_110000.WAV,231,-44.56,NA,whine,bobof_whine,0.7684
10,Waveform 1,1,13524,13527,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,24,NA,348.031,whine,bobof_whine,0.8011
10,Spectrogram 1,1,13524,13527,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,24,-39.47,NA,whine,bobof_whine,0.8011
11,Waveform 1,1,13554,13557,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,54,NA,321.627,whine,bobof_whine,0.7722
11,Spectrogram 1,1,13554,13557,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,54,-40.16,NA,whine,bobof_whine,0.7722
12,Waveform 1,1,13716,13719,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,216,NA,197.888,whine,bobof_whine,0.7718
12,Spectrogram 1,1,13716,13719,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,216,-44.37,NA,whine,bobof_whine,0.7718
13,Waveform 1,1,14706,14709,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1206,NA,89.606,whine,bobof_whine,0.7629
13,Spectrogram 1,1,14706,14709,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1206,-51.27,NA,whine,bobof_whine,0.7629
14,Waveform 1,1,14709,14712,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1209,NA,121.312,whine,bobof_whine,0.9177
14,Spectrogram 1,1,14709,14712,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1209,-48.62,NA,whine,bobof_whine,0.9177
15,Waveform 1,1,14838,14841,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1338,NA,98.266,whine,bobof_whine,0.8834
15,Spectrogram 1,1,14838,14841,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1338,-50.43,NA,whine,bobof_whine,0.8834
16,Waveform 1,1,15468,15471,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1968,NA,175.382,whine,bobof_whine,0.9126
16,Spectrogram 1,1,15468,15471,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1968,-45.43,NA,whine,bobof_whine,0.9126
17,Waveform 1,1,15471,15474,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1971,NA,192.615,whine,bobof_whine,0.9098
17,Spectrogram 1,1,15471,15474,D:\Shelburne\May\Sensor 12\20250516\20250516_210000.WAV,1971,-44.62,NA,whine,bobof_whine,0.9098
18,Waveform 1,1,16287,16290,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,87,NA,109.615,whine,bobof_whine,0.9904
18,Spectrogram 1,1,16287,16290,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,87,-49.5,NA,whine,bobof_whine,0.9904
19,Waveform 1,1,16314,16317,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,114,NA,69.221,whine,bobof_whine,0.7742
19,Spectrogram 1,1,16314,16317,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,114,-53.53,NA,whine,bobof_whine,0.7742
20,Waveform 1,1,16326,16329,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,126,NA,717.975,whine,bobof_whine,0.9565
20,Spectrogram 1,1,16326,16329,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,126,-32.9,NA,whine,bobof_whine,0.9565
21,Waveform 1,1,16788,16791,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,588,NA,248.288,whine,bobof_whine,0.822
21,Spectrogram 1,1,16788,16791,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,588,-42.42,NA,whine,bobof_whine,0.822
22,Waveform 1,1,16791,16794,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,591,NA,80.899,whine,bobof_whine,0.93
22,Spectrogram 1,1,16791,16794,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,591,-52.14,NA,whine,bobof_whine,0.93
23,Waveform 1,1,18174,18177,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,1974,NA,123.859,whine,bobof_whine,0.879
23,Spectrogram 1,1,18174,18177,D:\Shelburne\May\Sensor 12\20250516\20250516_220000.WAV,1974,-48.53,NA,whine,bobof_whine,0.879
24,Waveform 1,1,19104,19107,D:\Shelburne\May\Sensor 12\20250516\20250516_230000.WAV,204,NA,209.823,whine,bobof_whine,0.9494
24,Spectrogram 1,1,19104,19107,D:\Shelburne\May\Sensor 12\20250516\20250516_230000.WAV,204,-43.87,NA,whine,bobof_whine,0.9494
25,Waveform 1,1,19179,19182,D:\Shelburne\May\Sensor 12\20250516\20250516_230000.WAV,279,NA,70.014,whine,bobof_whine,0.859
25,Spectrogram 1,1,19179,19182,D:\Shelburne\May\Sensor 12\20250516\20250516_230000.WAV,279,-53.39,NA,whine,bobof_whine,0.859
26,Waveform 1,1,19233,19236,D:\Shelburne\May\Sensor 12\20250516\20250516_230000.WAV,333,NA,127.078,whine,bobof_whine,0.8379
26,Spectrogram 1,1,19233,19236,D:\Shelburne\May\Sensor 12\20250516\20250516_230000.WAV,333,-48.23,NA,whine,bobof_whine,0.8379
27,Waveform 1,1,22263,22266,D:\Shelburne\May\Sensor 12\20250517\20250517_090000.WAV,1563,NA,218.839,whine,bobof_whine,0.8979
27,Spectrogram 1,1,22263,22266,D:\Shelburne\May\Sensor 12\20250517\20250517_090000.WAV,1563,-43.49,NA,whine,bobof_whine,0.8979
