Nest_id,lat,lon,Species_code,1st_Closest,2nd_closest,3rd_closest
25-AB-07,44.3963399,-73.2788361,SAVS,,,
25-EL-03,44.393485,-73.278368,SAVS,,,
25-MP-01,44.3963646, -73.2749123,SAVS,,,
25-NP-04,44.3952805, -73.2756738,SAVS,,,
25-NP-21,,SAVS,,,
25-NP-22,,SAVS,,,
25-NP-23,44.3952264, -73.2757552,SAVS,,,
25-NP-24,44.3952264, -73.2757552,SAVS,,,
25-VW-09,44.3944332, -73.2727093,SAVS,,,
25-VW-11,44.3950259, -73.2731619,SAVS,,,
25-VW-18,,SAVS,,,
25-WB-02,44.3943072, -73.2740735,SAVS,,,
25-WB-03,44.3942351, -73.2747176,SAVS,,,
25-WB-05,44.3967955, -73.2750019,SAVS,,,
25-WB-06,44.3960055, -73.2716122,SAVS,,,
25-WB-07,44.3950103, -73.2746522,SAVS,,,
25-WB-21,,SAVS,,,
25-NP-03,44.3955431, -73.2746844,BOBO,,,
25-NP-08,44.3960395, -73.2744155,BOBO,,,
25-NP-17,44.3948412, -73.2718727,BOBO,,,
25-NP-25,,BOBO,,,
25-VW-14,44.3947913, -73.2725188,BOBO,,,
25-VW-15,44.3960742, -73.2738338,BOBO,,,
25-VW-17,44.3953241, -73.2739659,BOBO,,,
25-VW-25,44.3941361, -73.2736926,BOBO,,,
25-WB-16,44.3951981, -73.2753097,BOBO,,,
25-VW-22,44.3953800, -73.2707700,?,,,
25-AB-10,44.3938719, -73.2733808,?,,,
