sensor, date, amplitude
Sensor 1,20250504,0.00
Sensor 1,20250505,0.04
Sensor 1,20250506,0.10
Sensor 1,20250507,0.14
Sensor 1,20250508,0.13
Sensor 1,20250509,0.00
Sensor 1,20250510,0.00
Sensor 1,20250511,0.00
Sensor 1,20250512,0.00
Sensor 1,20250513,0.00
Sensor 1,20250514,0.00
Sensor 1,20250515,0.00
Sensor 1,20250516,0.00
Sensor 1,20250517,0.00
Sensor 1,20250518,0.00
Sensor 1,20250519,0.00
Sensor 1,20250520,0.00
Sensor 1,20250521,0.00
Sensor 1,20250522,0.00
Sensor 1,20250523,0.00
Sensor 1,20250524,0.00
Sensor 1,20250525,0.00
Sensor 1,20250526,0.00
Sensor 1,20250527,0.00
Sensor 1,20250528,0.00
Sensor 1,20250529,0.00
Sensor 1,20250530,0.00
Sensor 1,20250531,0.00
Sensor 1,20250601,0.00
Sensor 1,20250602,0.00
Sensor 1,20250603,0.00
Sensor 1,20250604,0.00
Sensor 10,20250505,1.22
Sensor 10,20250506,1.38
Sensor 10,20250507,5.06
Sensor 10,20250508,8.64
Sensor 10,20250509,1.52
Sensor 10,20250510,8.79
Sensor 10,20250511,24.82
Sensor 10,20250512,30.04
Sensor 10,20250513,35.69
Sensor 10,20250514,42.58
Sensor 10,20250515,63.33
Sensor 10,20250516,124.18
Sensor 10,20250517,63.99
Sensor 10,20250518,23.99
Sensor 10,20250519,10.10
Sensor 10,20250520,28.47
Sensor 10,20250521,41.62
Sensor 10,20250522,20.58
Sensor 10,20250523,9.44
Sensor 10,20250524,23.20
Sensor 10,20250525,20.04
Sensor 10,20250526,24.02
Sensor 10,20250527,83.53
Sensor 10,20250528,52.69
Sensor 10,20250529,106.75
Sensor 10,20250530,55.23
Sensor 10,20250531,22.22
Sensor 10,20250601,21.12
Sensor 10,20250602,17.15
Sensor 10,20250603,17.31
Sensor 10,20250604,21.07
Sensor 11,20250505,3.87
Sensor 11,20250506,4.57
Sensor 11,20250507,10.90
Sensor 11,20250508,19.88
Sensor 11,20250509,1.44
Sensor 11,20250510,12.60
Sensor 11,20250511,20.77
Sensor 11,20250512,43.29
Sensor 11,20250513,30.06
Sensor 11,20250514,71.41
Sensor 11,20250515,60.40
Sensor 11,20250516,112.20
Sensor 11,20250517,59.69
Sensor 11,20250518,22.68
Sensor 11,20250519,23.79
Sensor 11,20250520,89.28
Sensor 11,20250521,7.65
Sensor 11,20250522,11.14
Sensor 11,20250523,18.09
Sensor 11,20250524,125.68
Sensor 11,20250525,44.28
Sensor 11,20250526,16.43
Sensor 11,20250527,18.50
Sensor 11,20250528,13.47
Sensor 11,20250529,28.01
Sensor 11,20250530,24.78
Sensor 11,20250531,25.19
Sensor 11,20250601,12.17
Sensor 11,20250602,28.71
Sensor 11,20250603,29.21
Sensor 11,20250604,2.50
Sensor 12,20250505,2.20
