sensor, date, amplitude
Sensor 1,20250504,0.00
Sensor 1,20250505,2.34
Sensor 1,20250506,1.07
Sensor 1,20250507,5.36
Sensor 1,20250508,1.80
Sensor 1,20250509,0.89
Sensor 1,20250510,0.97
Sensor 1,20250511,0.62
Sensor 1,20250512,1.24
Sensor 1,20250513,1.42
Sensor 1,20250514,2.39
Sensor 1,20250515,1.41
Sensor 1,20250516,3.00
Sensor 1,20250517,1.27
Sensor 1,20250518,0.53
Sensor 1,20250519,0.01
Sensor 1,20250520,0.02
Sensor 1,20250521,0.37
Sensor 1,20250522,0.21
Sensor 1,20250523,0.16
Sensor 1,20250524,0.06
Sensor 1,20250525,0.16
Sensor 1,20250526,0.92
Sensor 1,20250527,0.65
Sensor 1,20250528,0.39
Sensor 1,20250529,0.17
Sensor 1,20250530,0.48
Sensor 1,20250531,0.06
Sensor 1,20250601,0.04
Sensor 1,20250602,0.17
Sensor 1,20250603,0.19
Sensor 1,20250604,0.10
Sensor 10,20250505,18.23
Sensor 10,20250506,8.79
Sensor 10,20250507,48.09
Sensor 10,20250508,21.33
Sensor 10,20250509,18.70
Sensor 10,20250510,30.72
Sensor 10,20250511,32.71
Sensor 10,20250512,35.78
Sensor 10,20250513,40.23
Sensor 10,20250514,58.48
Sensor 10,20250515,91.08
Sensor 10,20250516,180.98
Sensor 10,20250517,88.95
Sensor 10,20250518,51.31
Sensor 10,20250519,20.09
Sensor 10,20250520,68.49
Sensor 10,20250521,52.58
Sensor 10,20250522,54.88
Sensor 10,20250523,18.80
Sensor 10,20250524,41.86
Sensor 10,20250525,32.43
Sensor 10,20250526,35.45
Sensor 10,20250527,96.39
Sensor 10,20250528,56.84
Sensor 10,20250529,121.28
Sensor 10,20250530,68.40
Sensor 10,20250531,23.45
Sensor 10,20250601,25.04
Sensor 10,20250602,39.58
Sensor 10,20250603,39.39
Sensor 10,20250604,64.74
Sensor 11,20250505,74.05
Sensor 11,20250506,10.23
Sensor 11,20250507,43.99
Sensor 11,20250508,66.30
Sensor 11,20250509,59.70
Sensor 11,20250510,59.04
Sensor 11,20250511,69.52
Sensor 11,20250512,65.97
Sensor 11,20250513,107.98
Sensor 11,20250514,149.82
Sensor 11,20250515,190.78
Sensor 11,20250516,209.48
Sensor 11,20250517,140.96
Sensor 11,20250518,51.34
Sensor 11,20250519,43.84
Sensor 11,20250520,110.43
Sensor 11,20250521,12.53
Sensor 11,20250522,14.55
Sensor 11,20250523,23.03
Sensor 11,20250524,144.48
Sensor 11,20250525,59.40
Sensor 11,20250526,26.92
Sensor 11,20250527,32.31
Sensor 11,20250528,35.33
Sensor 11,20250529,46.44
Sensor 11,20250530,64.00
Sensor 11,20250531,62.43
Sensor 11,20250601,40.44
Sensor 11,20250602,132.64
Sensor 11,20250603,164.85
Sensor 11,20250604,18.50
Sensor 12,20250505,39.19
Sensor 12,20250506,4.52
Sensor 12,20250507,22.22
Sensor 12,20250508,97.50
Sensor 12,20250509,51.57
Sensor 12,20250510,13.25
Sensor 12,20250511,100.54
Sensor 12,20250512,110.13
Sensor 12,20250513,130.20
Sensor 12,20250514,281.86
Sensor 12,20250515,158.17
Sensor 12,20250516,350.57
Sensor 12,20250517,156.64
Sensor 12,20250518,80.90
Sensor 12,20250519,190.45
Sensor 12,20250520,248.51
Sensor 12,20250521,15.66
Sensor 12,20250522,35.92
Sensor 12,20250523,71.25
Sensor 12,20250524,132.34
Sensor 12,20250525,74.45
Sensor 12,20250526,58.66
Sensor 12,20250527,60.30
Sensor 12,20250528,51.79
Sensor 12,20250529,98.42
Sensor 12,20250530,58.61
Sensor 12,20250531,52.87
Sensor 12,20250601,52.21
Sensor 12,20250602,87.99
Sensor 12,20250603,101.65
Sensor 12,20250604,67.50
Sensor 12,20250605,0.00
Sensor 13,20250505,23.58
Sensor 13,20250506,4.30
Sensor 13,20250507,13.63
Sensor 13,20250508,47.49
Sensor 13,20250509,38.83
Sensor 13,20250510,50.75
Sensor 13,20250511,41.97
Sensor 14,20250505,27.84
Sensor 14,20250506,6.02
Sensor 14,20250507,23.59
Sensor 14,20250508,24.63
Sensor 14,20250509,17.67
Sensor 14,20250510,42.62
Sensor 14,20250511,67.80
Sensor 14,20250512,29.09
Sensor 14,20250513,30.97
Sensor 14,20250514,52.63
Sensor 14,20250515,53.59
Sensor 14,20250516,106.36
Sensor 14,20250517,67.17
Sensor 14,20250518,50.87
Sensor 14,20250519,80.12
Sensor 14,20250520,48.27
Sensor 14,20250521,25.46
Sensor 14,20250522,17.68
Sensor 14,20250523,35.73
Sensor 14,20250524,39.84
Sensor 14,20250525,62.73
Sensor 14,20250526,45.67
Sensor 14,20250527,46.23
Sensor 14,20250528,95.43
Sensor 14,20250529,92.65
Sensor 14,20250530,193.45
Sensor 14,20250531,66.14
Sensor 14,20250601,94.76
Sensor 14,20250602,99.46
Sensor 14,20250603,203.04
