sensor, date, amplitude

Sensor 1,20250605,0.00
Sensor 1,20250606,0.00
Sensor 1,20250607,0.00
Sensor 1,20250608,0.00
Sensor 1,20250609,0.00
Sensor 1,20250610,0.02
Sensor 1,20250611,0.01
Sensor 1,20250612,0.01
Sensor 1,20250613,0.00
Sensor 1,20250614,0.01
Sensor 1,20250615,0.04
Sensor 1,20250616,0.02
Sensor 1,20250617,0.01
Sensor 1,20250618,0.01
Sensor 1,20250619,0.05
Sensor 1,20250620,0.02
Sensor 1,20250621,0.08
Sensor 1,20250622,0.03
Sensor 1,20250623,0.15
Sensor 1,20250624,0.06
Sensor 1,20250625,0.13
Sensor 1,20250626,0.00
Sensor 1,20250627,0.01
Sensor 1,20250628,0.00
Sensor 1,20250629,0.00
Sensor 1,20250630,0.02
Sensor 1,20250701,0.02
Sensor 1,20250702,0.04
Sensor 1,20250703,0.01
Sensor 10,20250606,2.96
Sensor 10,20250607,3.14
Sensor 10,20250608,2.16
Sensor 10,20250609,17.71
Sensor 10,20250610,6.71
Sensor 10,20250611,8.77
Sensor 10,20250612,0.70
Sensor 10,20250613,0.84
Sensor 10,20250614,0.47
Sensor 10,20250615,3.20
Sensor 10,20250616,6.17
Sensor 10,20250617,22.74
Sensor 10,20250618,23.76
Sensor 10,20250619,14.85
Sensor 10,20250620,10.21
Sensor 10,20250621,2.38
Sensor 10,20250622,22.24
Sensor 10,20250623,10.23
Sensor 10,20250624,13.19
Sensor 10,20250625,4.17
Sensor 10,20250626,9.03
Sensor 10,20250627,55.13
Sensor 10,20250628,37.46
Sensor 10,20250629,4.11
Sensor 10,20250630,13.09
Sensor 10,20250701,19.64
Sensor 10,20250702,22.04
Sensor 10,20250703,14.87
Sensor 10,20250704,7.95
Sensor 10,20250705,4.81
Sensor 10,20250706,3.15
Sensor 11,20250606,120.67
Sensor 11,20250607,149.35
Sensor 11,20250608,148.27
Sensor 11,20250609,36.99
Sensor 11,20250610,23.04
Sensor 11,20250611,25.64
Sensor 11,20250612,23.50
Sensor 11,20250613,70.76
Sensor 11,20250614,44.98
Sensor 12,20250606,6.86
Sensor 12,20250607,6.12
Sensor 12,20250608,9.39
Sensor 12,20250609,11.82
Sensor 12,20250606,0.00
Sensor 12,20250607,0.00
Sensor 12,20250608,0.00
Sensor 12,20250609,0.00
Sensor 12,20250610,0.00
Sensor 12,20250611,0.00
Sensor 12,20250612,0.00
Sensor 12,20250613,0.00
Sensor 12,20250606,6.86
Sensor 12,20250607,6.12
Sensor 12,20250608,9.39
Sensor 12,20250609,11.82
Sensor 12,20250610,3.72
Sensor 12,20250611,11.18
Sensor 12,20250612,15.41
Sensor 12,20250613,37.06
Sensor 14,20250606,85.32
Sensor 14,20250607,210.49
Sensor 14,20250608,386.89
Sensor 14,20250609,163.99
Sensor 14,20250610,95.23
Sensor 14,20250611,111.78
Sensor 14,20250612,87.54
Sensor 14,20250613,92.56
Sensor 14,20250614,38.01
Sensor 14,20250615,68.68
Sensor 14,20250616,95.86
Sensor 14,20250617,110.33
Sensor 14,20250618,128.68
Sensor 14,20250619,61.09
Sensor 14,20250620,10.40
Sensor 14,20250621,9.82
Sensor 14,20250622,22.49
Sensor 14,20250623,38.52
Sensor 14,20250624,38.95
Sensor 14,20250625,16.68
Sensor 14,20250626,15.84
Sensor 14,20250627,9.62
Sensor 14,20250628,20.38
Sensor 14,20250629,3.23
Sensor 14,20250630,6.96
Sensor 14,20250701,13.65
Sensor 14,20250702,13.15
Sensor 14,20250703,12.62
